Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1449369,1598127,Herrera,HEX,66,Civ.,Paved,Yes,4100,91 km
1449369,1598127,San Isidro AB,,34,Mil.,Paved,No,7000,93 km
1449395,1598167,Lereh,LHI,unknown,,,,0,79 km
1449395,1598167,Apalapsili,AAS,unknown,,,,0,86 km
1449395,1598167,Bokondini,BUI,unknown,,,,0,87 km
1449406,1598183,Cabo Velas,,10,,,,0,42 km
1449406,1598183,Flamingo,FMG,unknown,,,,0,49 km
1449406,1598183,Santa Cruz Guanacaste,SZC,unknown,,,,0,70 km
1449406,1598183,Liberia International,LIR,70,Civ.,Paved,Yes,9000,77 km
1449406,1598183,La Flor,,55,Civ.,Paved,No,3100,80 km
1449406,1598183,Nosara,NOB,10,Civ.,Paved,No,3200,82 km
1449406,1598183,Nicoya Guanacaste,NCT,unknown,,,,0,88 km
1449406,1598183,Playa Samara,PLD,unknown,,,,0,92 km
1449406,1598183,Nicoya,,120,,,,0,92 km
1449406,1598183,Tamarindo,TNO,unknown,,,,0,99 km
