Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1450049,1599004,Gusap,GAP,459,,,,0,82 km
1450049,1599004,Ogeranang,OGE,unknown,,,,0,84 km
1450049,1599004,Teptep,TEP,unknown,,,,0,84 km
1450049,1599004,Kabwum,KBM,unknown,,,,0,85 km
1450049,1599004,Arona,AON,unknown,,,,0,86 km
1450049,1599004,Yasuru,KSX,unknown,,,,0,87 km
1450049,1599004,Kelanoa,KNL,unknown,,,,0,87 km
1450049,1599004,Wagau,WGU,unknown,,,,0,88 km
1450049,1599004,Singaua,SGB,unknown,,,,0,90 km
1450049,1599004,Tauta,TUT,unknown,,,,0,90 km
1450049,1599004,Aiyura,AYU,unknown,,,,0,96 km
1450049,1599004,Siwea,SWE,unknown,,,,0,98 km
1450049,1599004,Sialum,SXA,unknown,,,,0,99 km
1450061,1599019,El Salvador Bajo,ESR,1597,Civ.,Paved,No,7500,92 km
1450066,1599028,Kushiro,KUH,95,Civ.,Paved,Yes,7500,85 km
1450066,1599028,Nakashibetsu,SHB,65,Civ.,Paved,Yes,6500,88 km
1450091,1599062,Tolitoli,TLI,unknown,,,,0,91 km
1450096,1599067,Pelicano,,1121,,,,0,12 km
1450096,1599067,Vallenar,VLR,526,Civ.,Paved,No,4500,67 km
1450096,1599067,La Florida,LSC,146,Civ.,Paved,Yes,6300,86 km
1450096,1599067,Huancara,,598,,,,0,99 km
1450100,1599072,Karoola,KXR,unknown,,,,0,46 km
1450100,1599072,Buka,BUA,3,,,,0,47 km
1450100,1599072,Dios,DOS,unknown,,,,0,78 km
1450100,1599072,Sabah,SBV,unknown,,,,0,87 km
