Event_id,Episode,Radius,Population
1000047,1,2 km,<1000 people
1000053,2,Radius,Population
1000053,2,100 km,1000000 people
1000053,2,75 km,260000 people
1000053,2,50 km,14000 people
1000053,2,30 km,3400 people
1000053,2,20 km,2300 people
1000053,2,10 km,2300 people
1000053,2,5 km,2300 people
1000053,2,2 km,<1000 people
1000054,1,Radius,Population
1000054,1,100 km,3.1 million people
1000054,1,75 km,1.8 million people
1000054,1,50 km,1.2 million people
1000054,1,30 km,680000 people
1000054,1,20 km,420000 people
1000054,1,10 km,61000 people
1000054,1,5 km,1400 people
1000054,1,2 km,no people
1000055,2,Radius,Population
1000055,2,100 km,190000 people
1000055,2,75 km,190000 people
1000055,2,50 km,50000 people
1000055,2,30 km,<1000 people
1000055,2,20 km,<1000 people
1000055,2,10 km,<1000 people
1000055,2,5 km,<1000 people
1000055,2,2 km,no people
1000056,1,Radius,Population
1000056,1,100 km,4.4 million people
1000056,1,75 km,3.5 million people
1000056,1,50 km,1.6 million people
1000056,1,30 km,140000 people
1000056,1,20 km,26000 people
1000056,1,10 km,5200 people
1000056,1,5 km,<1000 people
1000056,1,2 km,no people
1000057,3,Radius,Population
1000057,3,100 km,19.7 million people
1000057,3,75 km,10.4 million people
1000057,3,50 km,5.7 million people
1000057,3,30 km,870000 people
1000057,3,20 km,150000 people
1000057,3,10 km,9000 people
1000057,3,5 km,1800 people
1000057,3,2 km,<1000 people
1000058,1,Radius,Population
1000058,1,100 km,6000 people
1000058,1,75 km,4500 people
1000058,1,50 km,1000 people
1000058,1,30 km,<1000 people
1000058,1,20 km,<1000 people
1000058,1,10 km,<1000 people
1000058,1,5 km,no people
1000058,1,2 km,no people
1000059,1,Radius,Population
1000059,1,100 km,8.7 million people
1000059,1,75 km,6.7 million people
1000059,1,50 km,4.7 million people
1000059,1,30 km,1.2 million people
1000059,1,20 km,340000 people
1000059,1,10 km,65000 people
1000059,1,5 km,1800 people
1000059,1,2 km,<1000 people
1000060,1,Radius,Population
1000060,1,100 km,4.4 million people
1000060,1,75 km,3.5 million people
1000060,1,50 km,1.6 million people
1000060,1,30 km,140000 people
1000060,1,20 km,26000 people
1000060,1,10 km,5200 people
1000060,1,5 km,<1000 people
1000060,1,2 km,no people
1000061,1,Radius,Population
1000061,1,100 km,190000 people
1000061,1,75 km,100000 people
1000061,1,50 km,91000 people
1000061,1,30 km,3200 people
1000061,1,20 km,1200 people
1000061,1,10 km,<1000 people
1000061,1,5 km,<1000 people
1000061,1,2 km,<1000 people
1000062,1,Radius,Population
1000062,1,100 km,24.4 million people
1000062,1,75 km,18.6 million people
1000062,1,50 km,10 million people
1000062,1,30 km,4.4 million people
1000062,1,20 km,1.4 million people
1000062,1,10 km,240000 people
1000062,1,5 km,45000 people
1000062,1,2 km,2300 people
1000063,1,Radius,Population
1000063,1,100 km,10 million people
1000063,1,75 km,6.4 million people
1000063,1,50 km,3.2 million people
1000063,1,30 km,810000 people
1000063,1,20 km,68000 people
1000063,1,10 km,1300 people
1000063,1,5 km,<1000 people
1000063,1,2 km,<1000 people
1000064,1,Radius,Population
1000064,1,100 km,7.4 million people
1000064,1,75 km,2.5 million people
1000064,1,50 km,200000 people
1000064,1,30 km,7200 people
1000064,1,20 km,6300 people
1000064,1,10 km,6300 people
1000064,1,5 km,1600 people
1000064,1,2 km,no people
1000065,1,Radius,Population
1000065,1,100 km,4.4 million people
1000065,1,75 km,3.3 million people
1000065,1,50 km,1.5 million people
1000065,1,30 km,510000 people
1000065,1,20 km,68000 people
1000065,1,10 km,21000 people
1000065,1,5 km,3600 people
1000065,1,2 km,<1000 people
1000066,1,Radius,Population
1000066,1,100 km,4700 people
1000066,1,75 km,3900 people
1000066,1,50 km,1400 people
1000066,1,30 km,<1000 people
1000066,1,20 km,<1000 people
1000066,1,10 km,no people
1000066,1,5 km,no people
1000066,1,2 km,no people
1000067,1,Radius,Population
1000067,1,100 km,19.7 million people
1000067,1,75 km,10.4 million people
1000067,1,50 km,5.7 million people
1000067,1,30 km,870000 people
1000067,1,20 km,150000 people
1000067,1,10 km,9000 people
1000067,1,5 km,1800 people
1000067,1,2 km,<1000 people
1000068,1,Radius,Population
1000068,1,100 km,1.5 million people
1000068,1,75 km,700000 people
1000068,1,50 km,240000 people
1000068,1,30 km,19000 people
1000068,1,20 km,7300 people
1000068,1,10 km,<1000 people
1000068,1,5 km,<1000 people
1000068,1,2 km,<1000 people
1000069,1,Radius,Population
1000069,1,100 km,8.7 million people
1000069,1,75 km,6.7 million people
1000069,1,50 km,4.7 million people
1000069,1,30 km,1.2 million people
1000069,1,20 km,340000 people
1000069,1,10 km,65000 people
1000069,1,5 km,1800 people
1000069,1,2 km,<1000 people
1000070,2,Radius,Population
1000070,2,100 km,28 million people
1000070,2,75 km,17.9 million people
1000070,2,50 km,5.1 million people
1000070,2,30 km,640000 people
1000070,2,20 km,190000 people
1000070,2,10 km,2000 people
1000070,2,5 km,<1000 people
1000070,2,2 km,<1000 people
1000071,1,Radius,Population
1000071,1,100 km,2.7 million people
1000071,1,75 km,1.8 million people
1000071,1,50 km,1.2 million people
1000071,1,30 km,940000 people
1000071,1,20 km,220000 people
1000071,1,10 km,<1000 people
1000071,1,5 km,<1000 people
1000071,1,2 km,<1000 people
1000072,7,Radius,Population
1000072,7,100 km,4.5 million people
1000072,7,75 km,3.8 million people
1000072,7,50 km,2.2 million people
1000072,7,30 km,1.3 million people
1000072,7,20 km,910000 people
1000072,7,10 km,200000 people
1000072,7,5 km,1800 people
1000072,7,2 km,<1000 people
1000073,1,Radius,Population
1000073,1,100 km,1.1 million people
1000073,1,75 km,980000 people
1000073,1,50 km,44000 people
1000073,1,30 km,15000 people
1000073,1,20 km,5700 people
1000073,1,10 km,1400 people
1000073,1,5 km,<1000 people
1000073,1,2 km,<1000 people
1000074,1,Radius,Population
1000074,1,100 km,24.4 million people
1000074,1,75 km,18.6 million people
1000074,1,50 km,10 million people
1000074,1,30 km,4.4 million people
1000074,1,20 km,1.4 million people
1000074,1,10 km,240000 people
1000074,1,5 km,45000 people
1000074,1,2 km,2300 people
1000075,1,Radius,Population
1000075,1,100 km,160000 people
1000075,1,75 km,120000 people
1000075,1,50 km,78000 people
1000075,1,30 km,14000 people
1000075,1,20 km,3600 people
1000075,1,10 km,<1000 people
1000075,1,5 km,<1000 people
1000075,1,2 km,<1000 people
1000076,1,Radius,Population
1000076,1,100 km,2.7 million people
1000076,1,75 km,1.8 million people
1000076,1,50 km,1.2 million people
1000076,1,30 km,940000 people
1000076,1,20 km,220000 people
1000076,1,10 km,<1000 people
1000076,1,5 km,<1000 people
1000076,1,2 km,<1000 people
1000077,1,Radius,Population
1000077,1,100 km,300000 people
1000077,1,75 km,180000 people
1000077,1,50 km,100000 people
1000077,1,30 km,43000 people
1000077,1,20 km,26000 people
1000077,1,10 km,<1000 people
1000077,1,5 km,<1000 people
1000077,1,2 km,<1000 people
1000078,1,Radius,Population
1000078,1,100 km,8300 people
1000078,1,75 km,4500 people
1000078,1,50 km,2800 people
1000078,1,30 km,<1000 people
1000078,1,20 km,no people
1000078,1,10 km,no people
1000078,1,5 km,no people
1000078,1,2 km,no people
1000080,10,Radius,Population
1000080,10,100 km,290000 people
1000080,10,75 km,270000 people
1000080,10,50 km,77000 people
1000080,10,30 km,30000 people
1000080,10,20 km,7800 people
1000080,10,10 km,<1000 people
1000080,10,5 km,<1000 people
1000080,10,2 km,<1000 people
1000081,1,Radius,Population
1000081,1,100 km,87000 people
1000081,1,75 km,53000 people
1000081,1,50 km,31000 people
1000081,1,30 km,15000 people
1000081,1,20 km,9000 people
1000081,1,10 km,1800 people
1000081,1,5 km,<1000 people
1000081,1,2 km,<1000 people
1000082,1,Radius,Population
1000082,1,100 km,630000 people
1000082,1,75 km,490000 people
1000082,1,50 km,300000 people
1000082,1,30 km,160000 people
1000082,1,20 km,120000 people
1000082,1,10 km,4900 people
1000082,1,5 km,2300 people
1000082,1,2 km,<1000 people
1000083,1,Radius,Population
1000083,1,100 km,7.4 million people
1000083,1,75 km,2.5 million people
